Year,AverageTemperature,Country
1900,22.86416667,Algeria
1901,22.72641667,Algeria
1902,23.05241667,Algeria
1903,22.55566667,Algeria
1904,22.68233333,Algeria
1905,22.56008333,Algeria
1906,22.46858333,Algeria
1907,22.17158333,Algeria
1908,22.82958333,Algeria
1909,22.56983333,Algeria
1910,22.67691667,Algeria
1911,22.57466667,Algeria
1912,22.86675,Algeria
1913,23.07925,Algeria
1914,23.04316667,Algeria
1915,22.82116667,Algeria
1916,22.643,Algeria
1917,22.46116667,Algeria
1918,22.41125,Algeria
1919,22.77333333,Algeria
1920,23.09433333,Algeria
1921,22.72358333,Algeria
1922,22.9345,Algeria
1923,22.43575,Algeria
1924,23.41808333,Algeria
1925,22.72658333,Algeria
1926,23.50166667,Algeria
1927,23.33541667,Algeria
1928,23.11541667,Algeria
1929,22.67208333,Algeria
1930,23.4545,Algeria
1931,23.86583333,Algeria
1932,23.61691667,Algeria
1933,23.1685,Algeria
1934,22.74466667,Algeria
1935,22.91975,Algeria
1936,22.94091667,Algeria
1937,23.7275,Algeria
1938,22.72766667,Algeria
1939,22.84141667,Algeria
1940,23.00591667,Algeria
1941,23.44341667,Algeria
1942,23.61016667,Algeria
1943,23.03333333,Algeria
1944,22.93416667,Algeria
1945,23.3655,Algeria
1946,23.25425,Algeria
1947,23.69016667,Algeria
1948,23.07133333,Algeria
1949,23.18816667,Algeria
1950,22.78183333,Algeria
1951,23.32166667,Algeria
1952,23.18541667,Algeria
1953,22.86941667,Algeria
1954,22.65241667,Algeria
1955,24.00483333,Algeria
1956,22.61133333,Algeria
1957,22.62025,Algeria
1958,23.54491667,Algeria
1959,23.33366667,Algeria
1960,23.50408333,Algeria
1961,23.39033333,Algeria
1962,23.18241667,Algeria
1963,23.31783333,Algeria
1964,23.1475,Algeria
1965,22.97375,Algeria
1966,23.30133333,Algeria
1967,22.86166667,Algeria
1968,23.18591667,Algeria
1969,23.45825,Algeria
1970,23.32283333,Algeria
1971,22.67225,Algeria
1972,22.69816667,Algeria
1973,22.88616667,Algeria
1974,22.541,Algeria
1975,22.71641667,Algeria
1976,22.35675,Algeria
1977,23.54608333,Algeria
1978,23.16183333,Algeria
1979,23.39683333,Algeria
1980,23.16016667,Algeria
1981,23.57925,Algeria
1982,23.09416667,Algeria
1983,23.683,Algeria
1984,23.06308333,Algeria
1985,23.52625,Algeria
1986,23.25666667,Algeria
1987,24.24775,Algeria
1988,23.81566667,Algeria
1989,23.72433333,Algeria
1990,24.01441667,Algeria
1991,23.01108333,Algeria
1992,22.767,Algeria
1993,23.45083333,Algeria
1994,23.64208333,Algeria
1995,23.7225,Algeria
1996,23.73433333,Algeria
1997,23.95516667,Algeria
1998,23.92058333,Algeria
1999,24.29941667,Algeria
2000,24.03225,Algeria
2001,24.72441667,Algeria
2002,24.263,Algeria
2003,24.39366667,Algeria
2004,23.916,Algeria
2005,24.22258333,Algeria
2006,24.20083333,Algeria
2007,24.06533333,Algeria
2008,23.95025,Algeria
2009,24.15433333,Algeria
2010,25.21566667,Algeria
2011,24.14416667,Algeria
2012,23.95483333,Algeria
2013,25.1215,Algeria
1900,22.79775,Egypt
1901,23.18158333,Egypt
1902,22.62491667,Egypt
1903,22.05275,Egypt
1904,21.97033333,Egypt
1905,22.3905,Egypt
1906,22.75633333,Egypt
1907,21.93691667,Egypt
1908,21.986,Egypt
1909,22.9115,Egypt
1910,22.03816667,Egypt
1911,22.184,Egypt
1912,22,Egypt
1913,21.787,Egypt
1914,22.50941667,Egypt
1915,23.14458333,Egypt
1916,23.09516667,Egypt
1917,22.39141667,Egypt
1918,22.72283333,Egypt
1919,22.83058333,Egypt
1920,22.08941667,Egypt
1921,22.35108333,Egypt
1922,22.701,Egypt
1923,22.67,Egypt
1924,22.94516667,Egypt
1925,22.80958333,Egypt
1926,22.51708333,Egypt
1927,22.97275,Egypt
1928,23.19291667,Egypt
1929,22.55266667,Egypt
1930,22.99516667,Egypt
1931,23.03583333,Egypt
1932,22.675,Egypt
1933,22.70491667,Egypt
1934,22.85983333,Egypt
1935,22.82725,Egypt
1936,23.34691667,Egypt
1937,23.13916667,Egypt
1938,22.525,Egypt
1939,23.25391667,Egypt
1940,22.99575,Egypt
1941,23.22841667,Egypt
1942,23.02125,Egypt
1943,22.6125,Egypt
1944,22.785,Egypt
1945,22.263,Egypt
1946,23.05375,Egypt
